"Sim_N","Day","Time","New_Patients","Waiting","Assigned","Discharged","Beds_Avail_EOH"
8577187251122058240,8,"17:00",3,12,12,1,0
8577187251122058240,8,"18:00",2,11,12,3,0
8577187251122058240,8,"19:00",2,11,12,2,0
8577187251122058240,8,"20:00",4,11,12,3,0
8577187251122058240,8,"21:00",5,13,12,3,0
8577187251122058240,8,"22:00",1,10,12,4,0
8577187251122058240,8,"23:00",5,12,12,2,0
8577187251122058240,9,"0:00",5,16,12,1,0
8577187251122058240,9,"1:00",1,16,12,1,0
8577187251122058240,9,"2:00",0,15,12,1,0
8577187251122058240,9,"3:00",3,14,12,4,0
8577187251122058240,9,"4:00",5,18,12,1,0
8577187251122058240,9,"5:00",1,16,12,3,0
8577187251122058240,9,"6:00",4,19,12,0,0
8577187251122058240,9,"7:00",0,19,12,0,0
8577187251122058240,9,"8:00",0,13,12,6,0
8577187251122058240,9,"9:00",4,15,12,2,0
8577187251122058240,9,"10:00",3,15,12,3,0
8577187251122058240,9,"11:00",1,9,12,6,0
8577187251122058240,9,"12:00",5,10,12,3,0
8577187251122058240,9,"13:00",0,9,12,1,0
8577187251122058240,9,"14:00",4,8,12,5,0
8577187251122058240,9,"15:00",1,7,12,2,0
8577187251122058240,9,"16:00",1,5,12,3,0
8577187251122058240,9,"17:00",4,8,12,1,0
8577187251122058240,9,"18:00",2,7,12,3,0
8577187251122058240,9,"19:00",0,4,12,3,0
8577187251122058240,9,"20:00",2,5,12,1,0
8577187251122058240,9,"21:00",3,4,12,4,0
8577187251122058240,9,"22:00",1,2,12,3,0
8577187251122058240,9,"23:00",0,2,12,0,0
8577187251122058240,10,"0:00",4,5,12,1,0
8577187251122058240,10,"1:00",4,5,12,3,0
8577187251122058240,10,"2:00",4,8,12,0,0
8577187251122058240,10,"3:00",4,10,12,2,0
8577187251122058240,10,"4:00",4,10,12,4,0
8577187251122058240,10,"5:00",0,10,12,0,0
8577187251122058240,10,"6:00",4,13,12,1,0
8577187251122058240,10,"7:00",5,16,12,2,0
8577187251122058240,10,"8:00",5,17,12,4,0
8577187251122058240,10,"9:00",5,20,12,0,0
8577187251122058240,10,"10:00",2,20,12,2,0
8577187251122058240,10,"11:00",5,22,12,2,0
8577187251122058240,10,"12:00",2,23,12,1,0
8577187251122058240,10,"13:00",5,22,12,6,0
8577187251122058240,10,"14:00",2,23,12,1,0
8577187251122058240,10,"15:00",4,24,12,3,0
8577187251122058240,10,"16:00",2,24,12,2,0
8577187251122058240,10,"17:00",1,20,12,4,0
8577187251122058240,10,"18:00",2,21,12,1,0
8577187251122058240,10,"19:00",2,16,12,6,0
8577187251122058240,10,"20:00",1,16,12,0,0
8577187251122058240,10,"21:00",0,14,12,2,0
8577187251122058240,10,"22:00",4,16,12,1,0
8577187251122058240,10,"23:00",2,16,12,2,0
8577187251122058240,11,"0:00",5,19,12,1,0
8577187251122058240,11,"1:00",1,13,12,7,0
8577187251122058240,11,"2:00",0,11,12,2,0
8577187251122058240,11,"3:00",2,10,12,3,0
8577187251122058240,11,"4:00",2,8,12,2,0
8577187251122058240,11,"5:00",3,10,12,1,0
8577187251122058240,11,"6:00",4,12,12,2,0
8577187251122058240,11,"7:00",0,7,12,5,0
8577187251122058240,11,"8:00",0,4,12,3,0
8577187251122058240,11,"9:00",3,3,12,4,0
8577187251122058240,11,"10:00",4,4,12,3,0
8577187251122058240,11,"11:00",3,5,12,2,0
8577187251122058240,11,"12:00",5,10,12,0,0
8577187251122058240,11,"13:00",4,13,12,1,0
8577187251122058240,11,"14:00",3,12,12,4,0
8577187251122058240,11,"15:00",5,13,12,4,0
8577187251122058240,11,"16:00",2,14,12,1,0
8577187251122058240,11,"17:00",0,10,12,4,0
8577187251122058240,11,"18:00",0,6,12,4,0
8577187251122058240,11,"19:00",3,6,12,3,0
8577187251122058240,11,"20:00",0,5,12,1,0
8577187251122058240,11,"21:00",5,8,12,1,0
8577187251122058240,11,"22:00",1,7,12,2,0
8577187251122058240,11,"23:00",5,10,12,2,0
8577187251122058240,12,"0:00",2,10,12,2,0
8577187251122058240,12,"1:00",1,7,12,4,0
8577187251122058240,12,"2:00",4,8,12,1,0
8577187251122058240,12,"3:00",3,9,12,2,0
8577187251122058240,12,"4:00",0,9,12,0,0
8577187251122058240,12,"5:00",2,7,12,4,0
8577187251122058240,12,"6:00",1,4,12,4,0
8577187251122058240,12,"7:00",0,0,12,4,0
8577187251122058240,12,"8:00",5,2,12,3,0
8577187251122058240,12,"9:00",3,3,12,2,0
8577187251122058240,12,"10:00",0,1,12,2,0
8577187251122058240,12,"11:00",5,3,12,3,0
8577187251122058240,12,"12:00",2,2,12,3,0
8577187251122058240,12,"13:00",3,4,12,1,0
8577187251122058240,12,"14:00",1,2,12,3,0
8577187251122058240,12,"15:00",2,1,12,3,0
8577187251122058240,12,"16:00",0,0,10,3,2
8577187251122058240,12,"17:00",1,0,10,1,2
8577187251122058240,12,"18:00",4,1,12,1,0
8577187251122058240,12,"19:00",5,3,12,3,0
8577187251122058240,12,"20:00",3,3,12,3,0
8577187251122058240,12,"21:00",4,4,12,3,0
8577187251122058240,12,"22:00",3,4,12,3,0
8577187251122058240,12,"23:00",3,7,12,0,0
8577187251122058240,13,"0:00",5,8,12,4,0
8577187251122058240,13,"1:00",4,10,12,2,0
8577187251122058240,13,"2:00",0,9,12,1,0
8577187251122058240,13,"3:00",5,11,12,3,0
8577187251122058240,13,"4:00",5,14,12,0,0
8577187251122058240,13,"5:00",4,17,12,1,0
8577187251122058240,13,"6:00",3,20,12,0,0
8577187251122058240,13,"7:00",0,20,12,0,0
8577187251122058240,13,"8:00",2,21,12,1,0
8577187251122058240,13,"9:00",0,20,12,1,0
8577187251122058240,13,"10:00",0,15,12,5,0
8577187251122058240,13,"11:00",4,17,12,2,0
8577187251122058240,13,"12:00",1,17,12,1,0
8577187251122058240,13,"13:00",4,18,12,2,0
8577187251122058240,13,"14:00",4,17,12,4,0
8577187251122058240,13,"15:00",3,15,12,5,0
8577187251122058240,13,"16:00",3,14,12,4,0
8577187251122058240,13,"17:00",4,14,12,3,0
8577187251122058240,13,"18:00",5,17,12,1,0
8577187251122058240,13,"19:00",2,16,12,3,0
8577187251122058240,13,"20:00",3,18,12,1,0
8577187251122058240,13,"21:00",1,17,12,2,0
8577187251122058240,13,"22:00",5,17,12,4,0
8577187251122058240,13,"23:00",3,18,12,2,0
8577187251122058240,14,"0:00",1,16,12,3,0
8577187251122058240,14,"1:00",4,18,12,2,0
8577187251122058240,14,"2:00",1,15,12,4,0
8577187251122058240,14,"3:00",0,11,12,4,0
8577187251122058240,14,"4:00",3,11,12,3,0
8577187251122058240,14,"5:00",4,12,12,3,0
8577187251122058240,14,"6:00",4,14,12,2,0
8577187251122058240,14,"7:00",3,13,12,4,0
8577187251122058240,14,"8:00",3,13,12,3,0
8577187251122058240,14,"9:00",5,15,12,3,0
8577187251122058240,14,"10:00",0,10,12,5,0
8577187251122058240,14,"11:00",3,11,12,2,0
8577187251122058240,14,"12:00",4,11,12,4,0
8577187251122058240,14,"13:00",5,14,12,2,0
8577187251122058240,14,"14:00",2,13,12,3,0
8577187251122058240,14,"15:00",1,13,12,1,0
8577187251122058240,14,"16:00",0,8,12,5,0
8577187251122058240,14,"17:00",0,5,12,3,0
8577187251122058240,14,"18:00",2,6,12,1,0
8577187251122058240,14,"19:00",2,7,12,1,0
8577187251122058240,14,"20:00",0,5,12,2,0
8577187251122058240,14,"21:00",3,6,12,2,0
8577187251122058240,14,"22:00",4,7,12,3,0
8577187251122058240,14,"23:00",3,8,12,2,0
8577187251122058240,15,"0:00",3,8,12,3,0
8577187251122058240,15,"1:00",3,4,12,7,0
8577187251122058240,15,"2:00",5,5,12,3,0
8577187251122058240,15,"3:00",2,4,12,3,0
8577187251122058240,15,"4:00",4,8,12,0,0
8577187251122058240,15,"5:00",3,10,12,1,0
8577187251122058240,15,"6:00",0,7,12,3,0
8577187251122058240,15,"7:00",4,10,12,0,0
8577187251122058240,15,"8:00",0,5,12,5,0
8577187251122058240,15,"9:00",0,4,12,1,0
8577187251122058240,15,"10:00",5,8,12,1,0
8577187251122058240,15,"11:00",1,6,12,3,0
8577187251122058240,15,"12:00",4,8,12,2,0
8577187251122058240,15,"13:00",5,9,12,3,0
8577187251122058240,15,"14:00",1,7,12,3,0
8577187251122058240,15,"15:00",0,7,12,0,0
8577187251122058240,15,"16:00",0,3,12,4,0
8577187251122058240,15,"17:00",5,7,12,0,0
8577187251122058240,15,"18:00",3,8,12,2,0
8577187251122058240,15,"19:00",5,11,12,2,0
8577187251122058240,15,"20:00",3,11,12,3,0
8577187251122058240,15,"21:00",0,8,12,3,0
8577187251122058240,15,"22:00",2,8,12,2,0
8577187251122058240,15,"23:00",3,10,12,1,0
8648126954363803648,1,"0:00",1,0,1,0,11
8648126954363803648,1,"1:00",5,0,5,1,7
8648126954363803648,1,"2:00",5,0,7,3,5
8648126954363803648,1,"3:00",0,0,4,3,8
8648126954363803648,1,"4:00",5,0,8,1,4
8648126954363803648,1,"5:00",5,0,11,2,1
8648126954363803648,1,"6:00",0,0,9,2,3
8648126954363803648,1,"7:00",4,0,12,0,0
8648126954363803648,1,"8:00",3,1,12,2,0
8648126954363803648,1,"9:00",0,1,12,0,0
8648126954363803648,1,"10:00",3,0,12,4,0
8648126954363803648,1,"11:00",0,0,11,1,1
8648126954363803648,1,"12:00",4,3,12,0,0
8648126954363803648,1,"13:00",0,3,12,0,0
8648126954363803648,1,"14:00",1,4,12,0,0
8648126954363803648,1,"15:00",4,5,12,3,0
8648126954363803648,1,"16:00",0,2,12,3,0
8648126954363803648,1,"17:00",3,3,12,2,0
8648126954363803648,1,"18:00",0,1,12,2,0
8648126954363803648,1,"19:00",3,1,12,3,0
8648126954363803648,1,"20:00",0,0,10,3,2
8648126954363803648,1,"21:00",4,0,11,2,1
8648126954363803648,1,"22:00",2,0,11,2,1
8648126954363803648,1,"23:00",0,0,8,3,4
8648126954363803648,2,"0:00",1,0,8,1,4
8648126954363803648,2,"1:00",5,0,8,4,4
8648126954363803648,2,"2:00",1,0,7,2,5
8648126954363803648,2,"3:00",2,0,5,3,7
8648126954363803648,2,"4:00",3,0,8,0,4
8648126954363803648,2,"5:00",3,0,11,0,1
8648126954363803648,2,"6:00",3,0,12,2,0
8648126954363803648,2,"7:00",0,0,8,4,4
8648126954363803648,2,"8:00",2,0,9,0,3
8648126954363803648,2,"9:00",0,0,7,2,5
8648126954363803648,2,"10:00",4,0,9,2,3
8648126954363803648,2,"11:00",1,0,8,2,4
8648126954363803648,2,"12:00",2,0,8,2,4
8648126954363803648,2,"13:00",3,0,10,1,2
8648126954363803648,2,"14:00",1,0,8,3,4
8648126954363803648,2,"15:00",4,0,12,0,0
8648126954363803648,2,"16:00",5,3,12,2,0
8648126954363803648,2,"17:00",1,3,12,1,0
8648126954363803648,2,"18:00",0,0,11,4,1
8648126954363803648,2,"19:00",5,1,12,3,0
8648126954363803648,2,"20:00",3,1,12,3,0
8648126954363803648,2,"21:00",0,0,10,3,2
8648126954363803648,2,"22:00",0,0,10,0,2
8648126954363803648,2,"23:00",4,0,12,2,0
8648126954363803648,3,"0:00",0,0,7,5,5
8648126954363803648,3,"1:00",1,0,7,1,5
8648126954363803648,3,"2:00",4,0,11,0,1
8648126954363803648,3,"3:00",3,0,9,5,3
8648126954363803648,3,"4:00",3,0,7,5,5
8648126954363803648,3,"5:00",1,0,7,1,5
8648126954363803648,3,"6:00",0,0,7,0,5
8648126954363803648,3,"7:00",5,0,9,3,3
8648126954363803648,3,"8:00",3,0,9,3,3
8648126954363803648,3,"9:00",2,0,11,0,1
8648126954363803648,3,"10:00",3,1,12,1,0
8648126954363803648,3,"11:00",0,0,11,2,1
8648126954363803648,3,"12:00",1,0,10,2,2
8648126954363803648,3,"13:00",2,0,11,1,1
8648126954363803648,3,"14:00",0,0,10,1,2
8648126954363803648,3,"15:00",1,0,10,1,2
8648126954363803648,3,"16:00",0,0,9,1,3
8648126954363803648,3,"17:00",0,0,7,2,5
8648126954363803648,3,"18:00",0,0,7,0,5
8648126954363803648,3,"19:00",4,0,10,1,2
8648126954363803648,3,"20:00",1,0,10,1,2
8648126954363803648,3,"21:00",4,0,10,4,2
8648126954363803648,3,"22:00",5,0,10,5,2
8648126954363803648,3,"23:00",0,0,4,6,8
8648126954363803648,4,"0:00",4,0,7,1,5
8648126954363803648,4,"1:00",4,0,7,2,5
8648126954363803648,4,"2:00",5,0,9,3,3
8648126954363803648,4,"3:00",0,0,6,3,6
8648126954363803648,4,"4:00",1,0,6,1,6
8648126954363803648,4,"5:00",5,0,10,1,2
8648126954363803648,4,"6:00",0,0,10,0,2
8648126954363803648,4,"7:00",0,0,9,1,3
8648126954363803648,4,"8:00",4,0,11,1,1
8648126954363803648,4,"9:00",2,0,12,1,0
8648126954363803648,4,"10:00",3,1,12,2,0
8648126954363803648,4,"11:00",4,4,12,1,0
8648126954363803648,4,"12:00",4,8,12,0,0
8648126954363803648,4,"13:00",5,11,12,2,0
8648126954363803648,4,"14:00",1,10,12,2,0
8648126954363803648,4,"15:00",1,9,12,2,0
8648126954363803648,4,"16:00",1,8,12,2,0
8648126954363803648,4,"17:00",5,9,12,4,0
8648126954363803648,4,"18:00",5,13,12,1,0
8648126954363803648,4,"19:00",3,11,12,5,0
8648126954363803648,4,"20:00",4,13,12,2,0
8648126954363803648,4,"21:00",2,15,12,0,0
8648126954363803648,4,"22:00",4,15,12,4,0
8648126954363803648,4,"23:00",3,15,12,3,0
8648126954363803648,5,"0:00",1,15,12,1,0
8648126954363803648,5,"1:00",4,19,12,0,0
8648126954363803648,5,"2:00",0,16,12,3,0
8648126954363803648,5,"3:00",4,18,12,2,0
8648126954363803648,5,"4:00",2,19,12,1,0
8648126954363803648,5,"5:00",2,20,12,1,0
8648126954363803648,5,"6:00",4,22,12,1,0
8648126954363803648,5,"7:00",5,25,12,1,0
8648126954363803648,5,"8:00",0,18,12,6,0
8648126954363803648,5,"9:00",0,18,12,0,0
8648126954363803648,5,"10:00",3,18,12,2,0
8648126954363803648,5,"11:00",4,16,12,4,0
8648126954363803648,5,"12:00",2,12,12,6,0
8648126954363803648,5,"13:00",3,15,12,0,0
8648126954363803648,5,"14:00",0,14,12,1,0
8648126954363803648,5,"15:00",3,16,12,0,0
8648126954363803648,5,"16:00",2,15,12,2,0
8648126954363803648,5,"17:00",3,18,12,0,0
8648126954363803648,5,"18:00",2,16,12,4,0
8648126954363803648,5,"19:00",5,18,12,2,0
8648126954363803648,5,"20:00",3,17,12,3,0
8648126954363803648,5,"21:00",1,15,12,3,0
8648126954363803648,5,"22:00",2,14,12,3,0
8648126954363803648,5,"23:00",2,14,12,1,0
8648126954363803648,6,"0:00",1,12,12,3,0
8648126954363803648,6,"1:00",4,13,12,2,0
8648126954363803648,6,"2:00",5,14,12,4,0
8648126954363803648,6,"3:00",5,13,12,6,0
8648126954363803648,6,"4:00",3,12,12,3,0
8648126954363803648,6,"5:00",0,8,12,4,0
8648126954363803648,6,"6:00",2,8,12,2,0
8648126954363803648,6,"7:00",5,11,12,2,0
8648126954363803648,6,"8:00",3,11,12,3,0
8648126954363803648,6,"9:00",5,12,12,3,0
8648126954363803648,6,"10:00",4,12,12,4,0
8648126954363803648,6,"11:00",4,13,12,2,0
8648126954363803648,6,"12:00",4,16,12,1,0
8648126954363803648,6,"13:00",2,16,12,2,0
8648126954363803648,6,"14:00",0,14,12,2,0
8648126954363803648,6,"15:00",2,13,12,3,0
8648126954363803648,6,"16:00",1,9,12,5,0
8648126954363803648,6,"17:00",4,8,12,4,0
8648126954363803648,6,"18:00",1,5,12,4,0
8648126954363803648,6,"19:00",1,4,12,2,0
8648126954363803648,6,"20:00",5,6,12,3,0
8648126954363803648,6,"21:00",5,10,12,1,0
8648126954363803648,6,"22:00",5,11,12,4,0
8648126954363803648,6,"23:00",2,12,12,1,0
8648126954363803648,7,"0:00",3,14,12,1,0
8648126954363803648,7,"1:00",0,13,12,1,0
8648126954363803648,7,"2:00",3,13,12,3,0
8648126954363803648,7,"3:00",0,11,12,2,0
8648126954363803648,7,"4:00",0,8,12,3,0
8648126954363803648,7,"5:00",2,5,12,5,0
8648126954363803648,7,"6:00",2,2,12,5,0
8648126954363803648,7,"7:00",0,0,11,3,1
8648126954363803648,7,"8:00",1,0,10,2,2
8648126954363803648,7,"9:00",2,0,9,3,3
8648126954363803648,7,"10:00",2,0,10,1,2
8648126954363803648,7,"11:00",2,0,12,0,0
8648126954363803648,7,"12:00",1,0,10,3,2
8648126954363803648,7,"13:00",2,0,12,0,0
8648126954363803648,7,"14:00",3,0,12,3,0
8648126954363803648,7,"15:00",4,4,12,0,0
8648126954363803648,7,"16:00",3,4,12,2,0
8648126954363803648,7,"17:00",4,5,12,2,0
8648126954363803648,7,"18:00",2,5,12,2,0
8648126954363803648,7,"19:00",2,2,12,5,0
8648126954363803648,7,"20:00",5,5,12,2,0
8648126954363803648,7,"21:00",0,1,12,4,0
8648126954363803648,7,"22:00",0,0,11,2,1
8648126954363803648,7,"23:00",5,0,12,4,0
8648126954363803648,8,"0:00",3,0,10,5,2
8648126954363803648,8,"1:00",5,1,12,2,0
8648126954363803648,8,"2:00",5,3,12,2,0
8648126954363803648,8,"3:00",0,0,10,5,2
8648126954363803648,8,"4:00",4,0,12,2,0
8648126954363803648,8,"5:00",2,0,12,2,0
8648126954363803648,8,"6:00",5,5,12,0,0
8648126954363803648,8,"7:00",1,4,12,2,0
8648126954363803648,8,"8:00",1,5,12,0,0
8648126954363803648,8,"9:00",5,3,12,6,0
8648126954363803648,8,"10:00",4,5,12,2,0
8648126954363803648,8,"11:00",3,4,12,4,0
8648126954363803648,8,"12:00",2,5,12,1,0
8648126954363803648,8,"13:00",1,5,12,0,0
8648126954363803648,8,"14:00",3,6,12,2,0
8648126954363803648,8,"15:00",3,7,12,2,0
8648126954363803648,8,"16:00",1,6,12,2,0
8648126954363803648,8,"17:00",3,6,12,3,0
8648126954363803648,8,"18:00",2,6,12,2,0
8648126954363803648,8,"19:00",4,4,12,6,0
8648126954363803648,8,"20:00",3,6,12,1,0
8648126954363803648,8,"21:00",1,6,12,1,0
8648126954363803648,8,"22:00",0,4,12,2,0
8648126954363803648,8,"23:00",4,1,12,6,0
8648126954363803648,9,"0:00",2,3,12,0,0
8648126954363803648,9,"1:00",2,0,12,5,0
8648126954363803648,9,"2:00",0,0,10,2,2
8648126954363803648,9,"3:00",5,0,11,4,1
8648126954363803648,9,"4:00",4,1,12,2,0
8648126954363803648,9,"5:00",2,2,12,1,0
8648126954363803648,9,"6:00",2,3,12,1,0
8648126954363803648,9,"7:00",0,0,12,3,0
8648126954363803648,9,"8:00",0,0,10,2,2
8648126954363803648,9,"9:00",0,0,9,1,3
8648126954363803648,9,"10:00",2,0,11,0,1
8648126954363803648,9,"11:00",3,0,11,3,1
8648126954363803648,9,"12:00",2,0,10,3,2
8648126954363803648,9,"13:00",3,0,12,0,0
8648126954363803648,9,"14:00",0,0,10,2,2
8648126954363803648,9,"15:00",4,0,11,3,1
8648126954363803648,9,"16:00",3,0,11,3,1
8648126954363803648,9,"17:00",1,0,10,2,2
8648126954363803648,9,"18:00",1,0,8,3,4
8648126954363803648,9,"19:00",1,0,9,0,3
8648126954363803648,9,"20:00",0,0,8,1,4
8648126954363803648,9,"21:00",5,0,12,1,0
8648126954363803648,9,"22:00",1,0,9,4,3
8648126954363803648,9,"23:00",4,0,12,1,0
8648126954363803648,10,"0:00",3,1,12,2,0
8648126954363803648,10,"1:00",1,0,12,2,0
8648126954363803648,10,"2:00",4,1,12,3,0
8648126954363803648,10,"3:00",4,4,12,1,0
8648126954363803648,10,"4:00",3,5,12,1,0
8648126954363803648,10,"5:00",3,4,12,4,0
8648126954363803648,10,"6:00",0,4,12,0,0
8648126954363803648,10,"7:00",0,4,12,0,0
8648126954363803648,10,"8:00",2,2,12,4,0
8648126954363803648,10,"9:00",4,2,12,3,0
8648126954363803648,10,"10:00",5,7,12,0,0
8648126954363803648,10,"11:00",2,7,12,2,0
8648126954363803648,10,"12:00",5,8,12,4,0
8648126954363803648,10,"13:00",1,5,12,4,0
8648126954363803648,10,"14:00",4,7,12,2,0
8648126954363803648,10,"15:00",4,8,12,3,0
8648126954363803648,10,"16:00",2,6,12,4,0
8648126954363803648,10,"17:00",1,4,12,3,0
8648126954363803648,10,"18:00",3,3,12,4,0
8648126954363803648,10,"19:00",2,4,12,1,0
8648126954363803648,10,"20:00",5,6,12,3,0
8648126954363803648,10,"21:00",2,5,12,3,0
8648126954363803648,10,"22:00",0,1,12,4,0
8648126954363803648,10,"23:00",0,0,11,2,1
8648126954363803648,11,"0:00",3,1,12,1,0
8648126954363803648,11,"1:00",3,1,12,3,0
8648126954363803648,11,"2:00",3,3,12,1,0
8648126954363803648,11,"3:00",1,4,12,0,0
8648126954363803648,11,"4:00",3,3,12,4,0
8648126954363803648,11,"5:00",0,2,12,1,0
8648126954363803648,11,"6:00",2,2,12,2,0
8648126954363803648,11,"7:00",5,2,12,4,0
8648126954363803648,11,"8:00",4,2,12,4,0
8648126954363803648,11,"9:00",5,4,12,2,0
8648126954363803648,11,"10:00",3,6,12,1,0
8648126954363803648,11,"11:00",1,6,12,1,0
8648126954363803648,11,"12:00",2,6,12,2,0
8648126954363803648,11,"13:00",1,4,12,3,0
8648126954363803648,11,"14:00",1,4,12,1,0
8648126954363803648,11,"15:00",5,8,12,1,0
8648126954363803648,11,"16:00",2,8,12,2,0
8648126954363803648,11,"17:00",0,3,12,5,0
8648126954363803648,11,"18:00",1,0,9,7,3
8648126954363803648,11,"19:00",2,0,9,2,3
8648126954363803648,11,"20:00",5,0,12,1,0
8648126954363803648,11,"21:00",0,0,11,1,1
8648126954363803648,11,"22:00",1,0,9,3,3
8648126954363803648,11,"23:00",2,0,8,3,4
8648126954363803648,12,"0:00",0,0,7,1,5
8648126954363803648,12,"1:00",5,0,10,2,2
8648126954363803648,12,"2:00",5,0,12,3,0
8648126954363803648,12,"3:00",0,0,9,3,3
8648126954363803648,12,"4:00",1,0,10,0,2
8648126954363803648,12,"5:00",4,0,12,2,0
8648126954363803648,12,"6:00",2,0,11,3,1
8648126954363803648,12,"7:00",5,2,12,2,0
8648126954363803648,12,"8:00",4,0,12,6,0
8648126954363803648,12,"9:00",2,0,11,3,1
8648126954363803648,12,"10:00",4,1,12,2,0
8648126954363803648,12,"11:00",3,1,12,3,0
8648126954363803648,12,"12:00",4,1,12,4,0
8648126954363803648,12,"13:00",4,2,12,2,0
8648126954363803648,12,"14:00",0,0,12,2,0
8648126954363803648,12,"15:00",4,3,12,1,0
8648126954363803648,12,"16:00",0,1,12,2,0
8648126954363803648,12,"17:00",4,2,12,3,0
8648126954363803648,12,"18:00",2,2,12,2,0
8648126954363803648,12,"19:00",0,0,11,3,1
8648126954363803648,12,"20:00",0,0,6,5,6
8648126954363803648,12,"21:00",1,0,6,1,6
8648126954363803648,12,"22:00",5,0,9,2,3
8648126954363803648,12,"23:00",1,0,8,2,4
8648126954363803648,13,"0:00",0,0,5,3,7
8648126954363803648,13,"1:00",1,0,6,0,6
8648126954363803648,13,"2:00",0,0,2,4,10
8648126954363803648,13,"3:00",3,0,5,0,7
8648126954363803648,13,"4:00",1,0,5,1,7
8648126954363803648,13,"5:00",5,0,8,2,4
8648126954363803648,13,"6:00",1,0,7,2,5
8648126954363803648,13,"7:00",4,0,10,1,2
8648126954363803648,13,"8:00",4,0,11,2,1
8648126954363803648,13,"9:00",1,0,9,3,3
8648126954363803648,13,"10:00",3,0,9,3,3
8648126954363803648,13,"11:00",0,0,7,2,5
8648126954363803648,13,"12:00",5,0,12,0,0
8648126954363803648,13,"13:00",1,0,11,2,1
8648126954363803648,13,"14:00",1,0,8,4,4
8648126954363803648,13,"15:00",4,0,11,1,1
8648126954363803648,13,"16:00",4,2,12,1,0
8648126954363803648,13,"17:00",3,4,12,1,0
8648126954363803648,13,"18:00",5,5,12,4,0
8648126954363803648,13,"19:00",3,4,12,4,0
8648126954363803648,13,"20:00",2,4,12,2,0
8648126954363803648,13,"21:00",0,1,12,3,0
8648126954363803648,13,"22:00",3,1,12,3,0
8648126954363803648,13,"23:00",0,0,12,1,0
8648126954363803648,14,"0:00",5,3,12,2,0
8648126954363803648,14,"1:00",2,1,12,4,0
8648126954363803648,14,"2:00",2,1,12,2,0
8648126954363803648,14,"3:00",1,0,12,2,0
8648126954363803648,14,"4:00",5,2,12,3,0
8648126954363803648,14,"5:00",0,1,12,1,0
8648126954363803648,14,"6:00",1,1,12,1,0
8648126954363803648,14,"7:00",3,1,12,3,0
8648126954363803648,14,"8:00",2,1,12,2,0
8648126954363803648,14,"9:00",2,0,12,3,0
8648126954363803648,14,"10:00",4,2,12,2,0
8648126954363803648,14,"11:00",5,3,12,3,0
8648126954363803648,14,"12:00",0,3,12,0,0
8648126954363803648,14,"13:00",4,6,12,1,0
8648126954363803648,14,"14:00",5,9,12,1,0
8648126954363803648,14,"15:00",3,11,12,1,0
8648126954363803648,14,"16:00",0,10,12,1,0
8648126954363803648,14,"17:00",1,9,12,2,0
8648126954363803648,14,"18:00",5,10,12,4,0
8648126954363803648,14,"19:00",4,8,12,6,0
8648126954363803648,14,"20:00",1,7,12,2,0
8648126954363803648,14,"21:00",4,9,12,1,0
8648126954363803648,14,"22:00",5,13,12,1,0
8648126954363803648,14,"23:00",3,16,12,0,0
8648126954363803648,15,"0:00",0,13,12,3,0
8648126954363803648,15,"1:00",1,14,12,0,0
8648126954363803648,15,"2:00",2,12,12,4,0
8648126954363803648,15,"3:00",4,13,12,3,0
8648126954363803648,15,"4:00",2,12,12,3,0
8648126954363803648,15,"5:00",1,12,12,1,0
8648126954363803648,15,"6:00",4,12,12,3,0
8648126954363803648,15,"7:00",2,12,12,2,0
8648126954363803648,15,"8:00",3,13,12,2,0
8648126954363803648,15,"9:00",4,16,12,1,0
8648126954363803648,15,"10:00",0,14,12,2,0
8648126954363803648,15,"11:00",3,14,12,1,0
8648126954363803648,15,"12:00",5,17,12,2,0
8648126954363803648,15,"13:00",1,14,12,4,0
8648126954363803648,15,"14:00",3,17,12,0,0
8648126954363803648,15,"15:00",3,19,12,1,0
8648126954363803648,15,"16:00",1,19,12,1,0
8648126954363803648,15,"17:00",1,16,12,3,0
8648126954363803648,15,"18:00",3,18,12,1,0
8648126954363803648,15,"19:00",5,20,12,2,0
8648126954363803648,15,"20:00",4,21,12,3,0
